url,emails,phone numbers
https://www.youtube.com/user/ASXLtd,,
https://www.asx.com.au/asx/markets/priceLookupInitial.do,,
https://mobile.twitter.com/ASX,,
https://www.asx.com.au/contact/,,
https://www.asx.com.au/about/asx-sitemap-basic-view-detailed-view.htm,,
https://www.asx.com.au/about/accessibility_statement.htm,,
https://www.asx.com.au/about/privacy-statement.htm,"privacy@asx.com.au.,info@asx.com.au.,privacy@asx.com.au",
https://www.asx.com.au/about/terms-use.htm,"info@asx.com.au,derivatives@asx.com.au",
https://www.asx.com.au/contact/customerFeedback.html,,
https://www.asx.com.au/regulation/corporate-governance-council.htm,,
https://www.asx.com.au/regulation/public-consultations.htm,"mavis.tan@asx.com.au,mavis.tan@asx.com.au,CHESSReplacement@asx.com.au,CHESSReplacement@asx.com.au,kelly.boschenok@asx.com.au,kelly.boschenok@asx.com.au",
https://www.asx.com.au/regulation/asx-regulatory-compliance.htm,,
https://www.asx.com.au/regulation/asx-compliance.htm,,
https://www.asx.com.au/regulation/rules-guidance-notes-and-waivers.htm,"customersupport@lexisnexis.com.au,customersupport@lexisnexis.com.au",
https://www.asx.com.au/about/advertise-with-asx.htm,"enquiries@dianomi.com,enquiries@dianomi.com",
https://www.asx.com.au/about/market-statistics.htm,,
https://www.asx.com.au/about/market-information.htm,,
https://www.asx.com.au/about/careers-at-asx.htm,,
https://www.asx.com.au/about/investor-relations.htm,,
https://www.asx.com.au/about/asx-news.htm,INFO@asx.com.au,
https://www.asx.com.au/about/corporate-overview.htm,,
https://www.asx.com.au/education/myasx-watchlists.htm,,
https://www.asx.com.au/education/myasx.htm,"investor.education@asx.com.au,investor.education@asx.com.au",
https://www.asx.com.au/education/glossary.htm,"investor.education@asx.com.au,investor.education@asx.com.au",
https://www.asx.com.au/education/download-brochures.htm,,
https://www.asx.com.au/contact/,,
https://www.asx.com.au/education/online-courses.htm,,
https://www.asx.com.au/education/first-time-investors.htm,,
https://www.asx.com.au/education/shares-education.htm,,
https://www.asx.com.au/listings/issuer-services.htm,"Listed@ASX,Listed@ASX,Listed@ASX",
https://www.asx.com.au/listings/debt-listing.htm,,
https://www.asx.com.au/listings/index.htm,"listed@asx.com.au,listed@asx.com.au,listed@asx.com.au,listed@asx.com.au,blair.harrison@asx.co.nz",
https://www.asx.com.au/contact/,,
https://www.asx.com.au/services/chess-replacement.htm,"CHESSReplacement@asx.com.au,CHESSReplacement@asx.com.au,CHESSReplacement@asx.com.au,CHESSReplacement@asx.com.au,CSPSupport@asx.com.au,CSPSupport@asx.com.au,CHESSReplacement@asx.com.au,CHESSReplacement@asx.com.au,CHESSReplacement@asx.com.au,CHESSReplacement@asx.com.au,CSPSupport@asx.com.au,CSPSupport@asx.com.au",
https://www.asx.com.au/cs/,,
https://www.asx.com.au/services/asx-collateral.htm,"fisales@asx.com.au,FISales@asx.com.au,FISales@asx.com.au",
https://www.asx.com.au/services/settlement.htm,,
https://www.asx.com.au/services/otc-clearing.htm,"FISales@asx.com.au,FISales@asx.com.au,asxclearfutures@asx.com.au,asxclearfutures@asx.com.au,crmteam@asx.com.au,crmteam@asx.com.au",
https://www.asx.com.au/services/clearing-risk-management.htm,,
https://www.asx.com.au/services/clearing.htm,,
https://www.asx.com.au/services/information-services.htm,,
https://www.asx.com.au/services/technical-services.htm,Adam.Bradley@asx.com.au,
https://www.asx.com.au/services/trading-services.htm,,
https://www.asx.com.au/mfund/index.htm,mFund@asx.com.au,
https://www.asx.com.au/services/issuing-products.htm,"AQUAandWarrantsUnit@asx.com.au,AQUAandWarrantsUnit@asx.com.au",
https://www.asx.com.au/services/become-a-participant.htm,,
https://www.asx.com.au/education/sharemarket-game.htm,,
https://www.asx.com.au/products/market-maker-arrangements.htm,"commodities@asx.com.au,commodities@asx.com.au",
https://www.asx.com.au/products/energy-derivatives.htm,,
https://www.asx.com.au/products/grains-derivatives.htm,,
https://www.asx.com.au/education/finance-seminars-and-webinars.htm,,
https://www.asx.com.au/products/interest-rate-derivatives.htm,,
https://www.asx.com.au/education/investment-and-finance-newsletter.htm,,
https://www.asx.com.au/products/index-derivatives.htm,,
https://www.asx.com.au/products/equity-options.htm,,
https://www.asx.com.au/products/warrants.htm,,
https://www.asx.com.au/products/managed-funds.htm,,
https://www.asx.com.au/products/etf-and-other-etp.htm,,
https://www.asx.com.au/products/hybrid-securities.htm,,
https://www.asx.com.au/products/bonds.htm,,
https://www.asx.com.au/products/indices.htm,"eddie.grieve@asx.com.au,gregory.stephens@asx.com.au",
https://www.asx.com.au/products/shares.htm,,
https://www.asx.com.au/prices/asx-research-scheme.htm,"ers@asx.com.au,ERS@asx.com.au",
https://www.asx.com.au/prices/find-broker.htm,,
https://www.asx.com.au/prices/calculators.htm,,
https://www.asx.com.au/prices/charting/,,
https://www.asx.com.au/prices/asx-codes.htm,,
https://www.asx.com.au/prices/daily_monthly_reports.htm,,
https://www.asx.com.au/prices/upcoming.htm,,
https://www.asx.com.au/asx/markets/dividends.do,,
https://www.asx.com.au/asx/statistics/announcements.do,,
https://www.asx.com.au/prices/company-information.htm,,
https://www.asx.com.au/asx/markets/equityPrices.do,,
https://www.asx.com.au/contact/,,
